source_page_url,source_page_label,source_table_index,fiction_work_raw,book_publication_year_guess,film_adaptation_raw,film_release_year_guess,adaptation_line_number,is_movie_2000_2024_guess
"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)","List_of_fiction_works_made_into_feature_films_(0–9,_A–C)",2,"The 25th Hour (2001), David Benioff",2001.0,25th Hour (2002),2002.0,1,True
"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)","List_of_fiction_works_made_into_feature_films_(0–9,_A–C)",2,"3 Assassins (グラスホッパー, Gurasuhoppā) (2004), Kōtarō Isaka",2004.0,Grasshopper (2015),2015.0,1,True
"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)","List_of_fiction_works_made_into_feature_films_(0–9,_A–C)",2,"4.50 from Paddington (1957), Agatha Christie",1957.0,Crime Is Our Business (French: Le Crime est notre affaire) (2008),2008.0,1,True
"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)","List_of_fiction_works_made_into_feature_films_(0–9,_A–C)",2,"69 (シクスティナイン, Shikusutinain) (1987), Ryu Murakami",1987.0,69 (2004),2004.0,1,True
"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)","List_of_fiction_works_made_into_feature_films_(0–9,_A–C)",3,"À ton image (1998), Louise L. Lambrichs",1998.0,À ton image (2004),2004.0,1,True
"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)","List_of_fiction_works_made_into_feature_films_(0–9,_A–C)",3,"About a Boy (1998), Nick Hornby",1998.0,About a Boy (2002),2002.0,1,True
"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)","List_of_fiction_works_made_into_feature_films_(0–9,_A–C)",3,"About Schmidt (1996), Louis Begley",1996.0,About Schmidt (2002),2002.0,1,True
"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)","List_of_fiction_works_made_into_feature_films_(0–9,_A–C)",3,"Adam Resurrected (Hebrew: אדם בן כלב) (1969), Yoram Kaniuk",1969.0,Adam Resurrected (2009),2009.0,1,True
"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)","List_of_fiction_works_made_into_feature_films_(0–9,_A–C)",3,"Adams Fall (2000), Sean Desmond",2000.0,Abandon (2002),2002.0,1,True
"https://en.wikipedia.org/wiki/List_of_fiction_works_made_into_feature_films_(0%E2%80%939,_A%E2%80%93C)","List_of_fiction_works_made_into_feature_films_(0–9,_A–C)",3,"Adiliya by the River (1999), Jin Renshun",1999.0,Green Tea (2003),2003.0,1,True
